BHK,type,ownership,bathroom,balcony,city,location,Rate_per_sqft,bedroom,total_area,Price,status,transaction,facing
3,Flat,Freehold,3,3,Delhi,Hind Apartment,7344,3,2968.409586,21800000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,3,Gurgaon,Vatika Sovereign Next,11250,4,2088.888889,23500000,Ready to Move,New Property,East
4,Flat,Freehold,3,3,Delhi,The Vimal Apartment,20202,4,891.000891,18000000,Ready to Move,Resale,East
3,Flat,Freehold,3,3,Gurgaon,Palam Vihar Pocket B Gurgaon,6263,3,1916.014689,12000000,Ready to Move,Resale,East
2,Flat,Freehold,2,1,Delhi,Dwarka Mor,46393,2,66.8204255,3100000,Ready to Move,New Property,West
1,Flat,Freehold,10,8,Delhi,New Friends Colony New Delhi,8231,10,24298.38416,200000000,Ready to Move,Resale,South - East
2,Flat,Freehold,2,2,Delhi,DDA Metro View Apartments,4861,2,2201.19317,10700000,Ready to Move,Resale,North
2,Flat,Freehold,1,4,Delhi,Govindpuri Main,11849,2,295.3835767,3500000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,2,Gurgaon,Whiteland The ASPEN,10303,3,3377.656993,34800000,Poss. by Nov '27,New Property,East
3,Flat,Freehold,3,3,Gurgaon,RWA Residential Society,3443,3,4937.554458,17000000,Ready to Move,New Property,North - East
3,Flat,Freehold,2,1,Faridabad,Sector 86,4915,3,1322.482197,6500000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,2,Delhi,Dwarka Mor,15152,3,340.5491024,5160000,Ready to Move,New Property,East
2,Flat,Freehold,2,2,Faridabad,Emerald Heights,6483,2,1172.296776,7600000,Ready to Move,Resale,North
3,Flat,Freehold,2,2,Gurgaon,Signature Global Park 4 and 5,23214,3,329.5425174,7650000,Ready to Move,Resale,North - West
3,Flat,Freehold,3,3,Gurgaon,Experion Windchants,19853,3,1813.327961,36000000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,3,Gurgaon,DLF The Summit,6500,4,10384.61538,67500000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,2,Gurgaon,PAREENA COBAN RESIDENCES,8889,3,1451.23186,12900000,Ready to Move,New Property,North - East
3,Flat,Freehold,2,2,Delhi,DDA Metro View Apartments,9529,3,1679.084899,16000000,Ready to Move,New Property,North - East
3,Flat,Freehold,2,4,Delhi,Anusandhan Apartment,4699,3,3447.54203,16200000,Ready to Move,Resale,
2,Flat,,2,NA,Ghaziabad,The Golden Gate,NA,2,NA,6070000,Poss. by Dec '23,New Property,
4,Flat,Freehold,4,3,Delhi,Apna Villa Apartment,11136,4,2200.071839,24500000,Ready to Move,Resale,North
3,Flat,Freehold,4,3,Delhi,Fakhrudd Apartments,9286,3,2099.935387,19500000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Gurgaon,Umang Monsoon Breeze Phase 2,5750,3,1730.434783,9950000,Ready to Move,New Property,North
3,Flat,Freehold,2,3,Delhi,DDA Platinum Heights,9611,3,1800.020809,17300000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,2,Gurgaon,Sushant Lok 1 Block C,10053,3,1889.98309,19000000,Ready to Move,New Property,North
3,Flat,Freehold,3,3,Delhi,Kanak Durga Apartment,12500,3,1800,22500000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Gurgaon,Unitech Harmony,9744,2,1795.977011,17500000,Ready to Move,Resale,East
2,Flat,Freehold,2,2,Gurgaon,Raheja Shilas,4801,2,1458.029577,7000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Delhi,DDA Flats Sarita Vihar,11304,2,1150.035386,13000000,Ready to Move,Resale,North - West
3,Flat,Freehold,3,3,Gurgaon,Tata La Vida,10260,3,1578.947368,16200000,Ready to Move,New Property,North - East
4,Flat,Freehold,3,4,Delhi,Prem Milan Apartment,11042,4,2399.927549,26500000,Ready to Move,Resale,South
5,Flat,Freehold,6,5,Delhi,Greater Kailash 1,25385,5,6499.901517,165000000,Ready to Move,New Property,North - West
2,Flat,Freehold,2,2,Delhi,DLF One Midtown,18286,2,1749.972657,32000000,Poss. by Dec '24,New Property,North
4,Flat,Freehold,3,2,Ghaziabad,Neeti Khand 2,7273,4,2199.917503,16000000,Ready to Move,Resale,East
3,Flat,Freehold,2,3,Delhi,Shubham CGHS,9688,3,1599.917424,15500000,Ready to Move,Resale,North - West
3,Flat,Freehold,2,3,Gurgaon,Sector 83,13810,3,890.6589428,12300000,Ready to Move,New Property,East
2,Flat,Freehold,2,2,Gurgaon,Emaar Emerald Estate,26154,2,554.4085035,14500000,Ready to Move,Resale,North - East
6,Flat,Freehold,5,4,Gurgaon,Salcon The Verandas,15997,6,10626.99256,170000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,2,Gurgaon,Ireo The Grand Arch,24568,3,1587.430804,39000000,Ready to Move,Resale,North - East
5,Flat,Freehold,5,4,Gurgaon,Salcon The Verandas,10526,5,12825.38476,135000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,1,Delhi,Dwarka Sector 8,9149,3,2186.03126,20000000,Ready to Move,New Property,East
2,Flat,Freehold,2,3,Gurgaon,Central Park Flower Valley Flamingo Floor,14203,2,704.0766035,10000000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,3,Gurgaon,Smart World Orchard,9624,3,2285.951787,22000000,Poss. by Aug '26,New Property,North - East
2,Flat,Freehold,3,2,Gurgaon,M3M Antalya Hills Phase II,13594,2,809.1805208,11000000,Ready to Move,New Property,East
4,Flat,Freehold,5,2,Gurgaon,Unitech Espace,14062,4,3093.443322,43500000,Ready to Move,New Property,East
3,Flat,Freehold,3,2,Gurgaon,DLF City Plot Phase 2,3200,3,7031.25,22500000,Ready to Move,New Property,North - East
2,Flat,Freehold,2,1,Delhi,Uttam Nagar West,8077,2,297.1400272,2400000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,2,Gurgaon,Ansal Versalia,9444,3,2223.634053,21000000,Ready to Move,Resale,North - East
3,Flat,,2,1,Delhi,Krishna Apartment,NA,3,NA,17000000,,Resale,
3,Flat,Freehold,3,3,Gurgaon,Godrej Meridien,12129,3,1855.058125,22500000,Ready to Move,Resale,North - East
4,Flat,Freehold,5,4,Gurgaon,Sobha International City,26749,4,2429.997383,65000000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,3,Gurgaon,IREO Uptown,14139,4,2051.064432,29000000,Ready to Move,Resale,South - East
4,Flat,Leasehold,4,2,Noida,Jaypee Greens Knights Court,9153,4,2949.852507,27000000,Ready to Move,Resale,East
3,Flat,Freehold,3,4,Ghaziabad,Uninav Bliss,4300,3,1990.697674,8560000,Ready to Move,New Property,North - East
2,Flat,Freehold,2,2,Gurgaon,Signature Global City 37D II,9000,2,1000,9000000,Poss. by May '25,New Property,North
4,Flat,Freehold,4,2,Gurgaon,Ansal API Esencia,8000,4,2500,20000000,Ready to Move,New Property,East
3,Flat,Freehold,3,2,Delhi,Panchsheel Enclave,30000,3,1600,48000000,Ready to Move,New Property,North - East
3,Flat,Freehold,2,1,Ghaziabad,Vasundhara,5067,3,1499.901322,7600000,Ready to Move,New Property,West
3,Flat,Freehold,2,3,Ghaziabad,DigiTown,5719,3,1428.571429,8170000,Poss. by Dec '24,New Property,North - East
4,Flat,Freehold,4,2,Gurgaon,Luxury Builder Floors,11346,4,2600.035255,29500000,Ready to Move,New Property,North
3,Flat,Freehold,2,2,Delhi,DDA Indraprastha Apartment,9375,3,1600,15000000,Ready to Move,Resale,North
4,Flat,Freehold,4,3,Gurgaon,Sector 49,13529,4,3400.103481,46000000,Ready to Move,New Property,East
3,Flat,Freehold,2,1,Delhi,Vrundavan Society,10333,3,1800.058066,18600000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,4,Delhi,DLF Capital Greens 1 and 2,17313,3,1675.041876,29000000,Ready to Move,Resale,North - West
4,Flat,Freehold,4,3,Gurgaon,Malibu Town,18143,4,3499.972441,63500000,Ready to Move,New Property,East
4,Flat,Freehold,4,3,Gurgaon,DLF Crest,33376,4,3116.011505,104000000,Ready to Move,Resale,North
3,Flat,Freehold,3,3,Gurgaon,Aqua Front Towers,9447,3,1788.927702,16900000,Ready to Move,Resale,North - East
4,Flat,Freehold,5,5,Gurgaon,M3M Latitude,20305,4,2954.937208,60000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,2,Gurgaon,SS The Leaf,7012,2,1640.045636,11500000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Delhi,Safdarjung Enclave,22963,3,1349.997823,31000000,Ready to Move,New Property,North - East
3,Flat,Freehold,4,3,Gurgaon,Central Park 2,20292,3,2464.025232,50000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Gurgaon,Tulip Monsella,27000,3,2870.37037,77500000,Poss. by Jun '27,New Property,North - West
4,Flat,Freehold,5,2,Delhi,Gulmohar Park,30444,4,4500.065694,137000000,Ready to Move,New Property,North - East
4,Flat,Freehold,4,2,Gurgaon,DLF Icon,17241,4,2610.057421,45000000,Ready to Move,Resale,East
4,Flat,Freehold,3,3,Gurgaon,Sushant Lok 2,12872,4,1949.968925,25100000,Ready to Move,New Property,East
5,Flat,Freehold,6,4,Gurgaon,Sobha International City,13333,5,4500.112503,60000000,Ready to Move,New Property,North
3,Flat,,4,NA,Gurgaon,Assotech Blith,5500,3,2400,13200000,Ready to Move,New Property,
4,Flat,Freehold,4,2,Gurgaon,Sector 46,13519,4,2699.903839,36500000,Ready to Move,New Property,North - West
4,Flat,Freehold,4,2,Gurgaon,Suncity,13433,4,1339.983622,18000000,Ready to Move,Resale,North
3,Flat,Freehold,2,4,Delhi,DGS Apartment,9677,3,1550.06717,15000000,Ready to Move,Resale,North
3,Flat,Freehold,3,4,Gurgaon,Luxury Floors,12907,3,1781.978771,23000000,Ready to Move,New Property,North
3,Flat,Freehold,3,3,Faridabad,RPS Auria Residences,5431,3,1565.089302,8500000,Ready to Move,Resale,East
1,Flat,Leasehold,1,2,Noida,Knowledge Park 3,3800,1,421.0526316,1600000,Ready to Move,Resale,North - West
3,Flat,Freehold,2,2,Ghaziabad,Aditya White Cottage,3413,3,1377.087606,4700000,Ready to Move,Resale,East
4,Flat,Freehold,4,3,Gurgaon,Dlf City Phase 4,11523,4,2429.922763,28000000,Ready to Move,Resale,South
3,Flat,Freehold,2,2,Ghaziabad,Mahagun Mansion 1 and 2,5634,3,1419.950302,8000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,2,Noida,Godrej Tropical Isle,19444,3,1620.037029,31500000,Poss. by Nov '23,Resale,South - East
3,Flat,Leasehold,2,4,Delhi,Tagore Garden,13333,3,1350.033751,18000000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,2,Noida,Panchsheel Greens 2,5769,4,1820.072803,10500000,Ready to Move,New Property,East
2,Flat,Freehold,2,2,Delhi,Delhi Rajdhani Apartments,10952,2,1050.036523,11500000,Ready to Move,Resale,North
4,Flat,Freehold,3,2,Noida,Noida Extension Block A Noida,3486,4,2099.827883,7320000,Poss. by Dec '23,New Property,North
3,Flat,Freehold,4,2,Delhi,Greater Kailash 2,27907,3,1934.998388,54000000,Ready to Move,New Property,North - East
4,Flat,Leasehold,2,4,Gurgaon,Saraswati Vihar,17695,4,1458.038994,25800000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,4,Noida,Express Astra,8978,3,2004.900869,18000000,Poss. by Dec '25,New Property,North - East
4,Flat,Freehold,4,3,Gurgaon,M3M Merlin,14386,4,3267.065202,47000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,3,Gurgaon,Signature Global Park,6137,2,845.6900766,5190000,Ready to Move,New Property,North - East
1,Flat,Leasehold,1,3,Noida,Jaypee Greens Crescent Court,9600,1,1250,12000000,Ready to Move,Resale,North
2,Flat,Freehold,2,2,Noida,Panchsheel Pratishtha,7710,2,1309.98703,10100000,Ready to Move,Resale,East
4,Flat,Freehold,3,3,Faridabad,Greenfield Colony,4000,4,2250,9000000,Ready to Move,Resale,East
3,Flat,Freehold,3,2,Faridabad,BPTP Discovery Park,5846,3,1625.042764,9500000,Ready to Move,Resale,North - East
2,Flat,Leasehold,2,3,Delhi,Rohini Sector 3,16079,2,503.7626718,8100000,Ready to Move,Resale,
2,Flat,,2,1,Noida,CRC Joyous,6153,2,1040.14302,6400000,Poss. by Sep '27,New Property,
3,Flat,,3,NA,Delhi,Nehru Nagar,5556,3,1079.913607,6000000,Ready to Move,Resale,
3,Flat,Freehold,2,1,Delhi,Priyadarshini Vihar,14620,3,1196.990424,17500000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,3,Delhi,Himachal Apartment,11611,3,1800.017225,20900000,Ready to Move,Resale,North - East
3,Flat,Freehold,4,3,Gurgaon,Puri Emerald Bay,10408,3,2450.038432,25500000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,1,Delhi,Uttam Nagar West,4828,3,662.8003314,3200000,Ready to Move,Resale,North - East
3,Flat,Leasehold,3,4,Noida,Amrapali Smart City,4877,3,1578.83945,7700000,Ready to Move,Resale,East
3,Flat,Freehold,2,3,Ghaziabad,KW Srishti,6193,3,1122.234781,6950000,Ready to Move,Resale,East
1,Flat,Freehold,1,1,Noida,Sector MU 2,9444,1,211.7746717,2000000,Ready to Move,Resale,North
3,Flat,Freehold,2,1,Delhi,Rohini Sector 23,16364,3,519.4329015,8500000,Ready to Move,New Property,East
4,Flat,Power Of Attorney,4,1,Delhi,New Delhi,3295,4,13657.05615,45000000,Ready to Move,Resale,North
2,Flat,Freehold,2,1,Ghaziabad,Aditya World City,29861,2,97.11664043,2900000,Ready to Move,Resale,East
1,Flat,Freehold,1,2,Delhi,Sheikh Sarai Phase 2,6034,1,1491.547895,9000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Ghaziabad,Kavi Nagar,9554,3,732.6774126,7000000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,2,Gurgaon,Hero Homes,11667,2,899.9742864,10500000,Poss. by May '24,Resale,North
2,Flat,Freehold,2,4,Delhi,Sheikh Sarai Phase 1,6459,2,2167.518192,14000000,Ready to Move,Resale,North - East
3,Flat,Leasehold,3,4,Ghaziabad,Uninav Eden,9492,3,1422.250316,13500000,Ready to Move,New Property,North - East
5,Flat,Freehold,5,5,Gurgaon,BPTP MANSIONS PARK PRIME,14650,5,1911.262799,28000000,Ready to Move,New Property,North - West
5,Flat,Freehold,6,3,Noida,Mahagun Manorialle,18000,5,4961.111111,89300000,Poss. by Mar '24,New Property,East
4,Flat,Freehold,4,3,Gurgaon,M3M Golf Estate,14286,4,6425.871483,91800000,Ready to Move,Resale,East
3,Flat,Freehold,3,2,Gurgaon,Project Sushant Lok 1 Block C,4904,3,5097.879282,25000000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,2,Ghaziabad,Uninav Eden,16364,3,623.3194818,10200000,Ready to Move,New Property,North - East
4,Flat,Leasehold,4,3,Delhi,Greater Kailash 1,6900,4,7173.913043,49500000,Ready to Move,New Property,North - East
3,Flat,Freehold,4,4,Delhi,Skylark Apartment,15000,3,2400,36000000,Ready to Move,Resale,North - East
3,Flat,Leasehold,2,2,Noida,Express Astra Phase 2,9585,3,1126.760563,10800000,Poss. by Dec '24,New Property,West
3,Flat,Freehold,3,3,Noida,Mahagun Manorialle,4937,3,8203.362366,40500000,Poss. by Dec '23,New Property,
3,Flat,Freehold,2,2,Noida,ACE Divino,4736,3,3167.22973,15000000,Ready to Move,Resale,
2,Flat,Freehold,2,3,Noida,Logix Blossom County,13579,2,515.5018779,7000000,Ready to Move,Resale,
4,Flat,,3,2,Faridabad,Sector 85,6670,4,1949.025487,13000000,Ready to Move,New Property,
3,Flat,,3,NA,Gurgaon,IREO Skyon,11556,3,2422.983731,28000000,Poss. by Dec '24,Resale,
3,Flat,,2,NA,Noida,Trident Embassy Reso,NA,3,NA,9170000,Ready to Move,New Property,
2,Flat,,2,NA,Delhi,Arya Chittaranjan Park,NA,2,NA,13000000,,Resale,
2,Flat,Freehold,2,3,Gurgaon,Emaar Digi Homes,15584,2,1507.956879,23500000,Ready to Move,Resale,North
4,Flat,Freehold,4,2,Delhi,Yojana Vihar RWA,21250,4,2400,51000000,Ready to Move,New Property,North
3,Flat,Freehold,3,2,Gurgaon,Orchid IVY,10000,3,2600,26000000,Poss. by Jun '25,New Property,North - East
2,Flat,Leasehold,2,3,Ghaziabad,Mahagun Puram,3556,2,899.8875141,3200000,Ready to Move,Resale,North - East
3,Flat,Leasehold,3,2,Noida,Amrapali Sapphire,8746,3,1806.540133,15800000,Ready to Move,Resale,North - East
5,Flat,Freehold,5,5,Noida,The Islands by Gaurs,12926,5,4866.161225,62900000,Poss. by Jul '30,New Property,North - West
2,Flat,Power Of Attorney,2,1,Delhi,Prashant Vihar,14550,2,756.0137457,11000000,Ready to Move,New Property,East
4,Flat,Freehold,5,3,Noida,Antriksh Nature,8972,4,2674.988854,24000000,Ready to Move,New Property,East
3,Flat,Freehold,3,2,Gurgaon,Vatika Gurgaon 21,6340,3,1735.015773,11000000,Ready to Move,Resale,East
4,Flat,Freehold,4,4,Ghaziabad,ATS Advantage,12131,4,3050.037095,37000000,Ready to Move,Resale,East
3,Flat,Leasehold,3,4,Ghaziabad,Nandini The Vasundhara Grand,8606,3,1650.01162,14200000,Ready to Move,New Property,East
2,Flat,Freehold,2,3,Noida,Gaur City 7th Avenue,5767,2,1075.082365,6200000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Delhi,Sri Durga Apartment,10000,3,1600,16000000,Ready to Move,Resale,North
2,Flat,Freehold,2,1,Noida,East Avenue,2857,2,1050.052503,3000000,Ready to Move,Resale,North - West
4,Flat,Leasehold,4,3,Gurgaon,HUDA Authority Plots,10357,4,2800.038621,29000000,Ready to Move,New Property,South -West
3,Flat,Freehold,3,4,Noida,Apex Athena,8971,3,1894.994984,17000000,Ready to Move,Resale,East
3,Flat,Freehold,3,1,Noida,Cassia Sigma,8361,3,2152.85253,18000000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,2,Ghaziabad,Raj Garden City,4003,3,1448.913315,5800000,Ready to Move,New Property,North - East
2,Flat,Freehold,2,4,Ghaziabad,Raj Garden City,3558,2,1649.80326,5870000,Ready to Move,New Property,North
1,Flat,Freehold,1,3,Ghaziabad,RWA DLF Colony,3447,1,580.2146794,2000000,Ready to Move,Resale,East
3,Flat,Freehold,2,2,Delhi,Ashiana Apartment,9886,3,1749.949423,17300000,Ready to Move,Resale,North
1,Flat,Freehold,1,1,Delhi,Mohan Garden,4000,1,450,1800000,Poss. by Dec '23,Resale,North - East
2,Flat,,2,1,Ghaziabad,Chhapraula Ghaziabad,5278,2,899.9621069,4750000,Ready to Move,New Property,
4,Flat,,4,NA,Gurgaon,DLF Regal Gardens,8997,4,2222.96321,20000000,Poss. by Jul '24,New Property,
3,Flat,,3,NA,Gurgaon,Birla Navya,20526,3,1900.029231,39000000,Ready to Move,New Property,
2,Flat,,1,NA,Ghaziabad,Lal Kuan Ghaziabad,5211,2,710.0364613,3700000,Ready to Move,New Property,
3,Flat,,2,NA,Delhi,DDA Flats Pocket 4,11600,3,1250,14500000,,Resale,
2,Flat,Freehold,2,3,Delhi,Pahar Ganj,3889,2,899.9742864,3500000,Ready to Move,Resale,East
3,Flat,Freehold,2,2,Faridabad,Adore Happy Homes Exclusive phase 2,3650,3,1000,3650000,Ready to Move,Resale,North - East
3,Flat,Freehold,2,3,Noida,Aba Cherry County,7877,3,1206.04291,9500000,Ready to Move,Resale,East
2,Flat,Freehold,2,4,Noida,Samridhi Luxuriya Avenue,11245,2,1244.997777,14000000,Ready to Move,New Property,East
3,Flat,Leasehold,2,4,Noida,Splendour,6115,3,1618.969747,9900000,Poss. by Jun '26,New Property,North
